ID,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000046699,0.25985067,-1.261561392,0.44882546,0.502893253,0.772391196
ENSMUSG00000106411,0.108709515,4.325903982,0.448736063,0.50293579,0.772393516
ENSMUSG00000001962,0.125782588,1.889340998,0.448222243,0.503180394,0.772485006
ENSMUSG00000026643,-0.132432812,3.564168386,0.448154367,0.503212722,0.772485006
ENSMUSG00000021411,0.100771828,4.279549752,0.448072027,0.503251943,0.772485006
ENSMUSG00000019467,-0.298439268,-1.5730118,0.44806762,0.503254042,0.772485006
ENSMUSG00000107749,0.278504294,-0.657122,0.448047666,0.503263548,0.772485006
ENSMUSG00000035173,0.112716708,3.19894547,0.448028717,0.503272575,0.772485006
ENSMUSG00000069309,-0.154581233,0.960283241,0.448007722,0.503282577,0.772485006
ENSMUSG00000035513,-0.294329004,-1.742649796,0.447868438,0.503348941,0.772523886
ENSMUSG00000081429,-0.210289274,-0.747398127,0.44778159,0.503390329,0.772524431
ENSMUSG00000040356,0.076658096,4.690114357,0.447692899,0.503432601,0.772526333
ENSMUSG00000055485,-0.151871923,1.349520218,0.447426716,0.503559506,0.772658094
ENSMUSG00000064831,-0.431642471,-1.159493797,0.447095863,0.503717319,0.772837256
ENSMUSG00000027805,0.207517807,-0.186870681,0.44690649,0.503807686,0.772871554
ENSMUSG00000030330,-0.130887644,1.983896195,0.446876967,0.503821776,0.772871554
ENSMUSG00000082678,-0.141041392,1.301913841,0.446069066,0.504207628,0.773289906
ENSMUSG00000031425,-0.17299685,0.467284582,0.445901959,0.504287501,0.773289906
ENSMUSG00000004264,-0.084171494,5.808272693,0.445896959,0.504289891,0.773289906
ENSMUSG00000106001,0.12107779,2.536384804,0.445668404,0.504399171,0.773289906
ENSMUSG00000028649,0.093401299,6.461325684,0.445510323,0.504474778,0.773289906
ENSMUSG00000087484,0.306717555,-1.213091662,0.445501416,0.504479039,0.773289906
ENSMUSG00000108256,0.147599102,1.075030324,0.445489534,0.504484722,0.773289906
ENSMUSG00000083139,-0.328214114,-1.765653809,0.445456599,0.504500478,0.773289906
ENSMUSG00000018820,-0.098857244,2.432907509,0.445405709,0.504524823,0.773289906
ENSMUSG00000014294,-0.087068419,4.095738031,0.445318514,0.504566543,0.773289906
ENSMUSG00000051855,-0.251514949,-1.017221913,0.445264261,0.504592503,0.773289906
ENSMUSG00000103697,0.241623951,-0.466440332,0.445152913,0.504645792,0.773289906
ENSMUSG00000003847,-0.085006368,3.4708516,0.445126585,0.504658393,0.773289906
ENSMUSG00000080538,0.481811366,-1.748350662,0.445066159,0.504687317,0.773289906
ENSMUSG00000044162,0.431750237,-2.144777571,0.445002676,0.504717707,0.773289906
ENSMUSG00000057329,0.150699523,0.417785925,0.444862154,0.504784988,0.773289906
ENSMUSG00000036908,-0.100324547,3.253385906,0.444845962,0.504792742,0.773289906
ENSMUSG00000037171,0.448127238,-1.860259898,0.444578133,0.504921022,0.773423487
ENSMUSG00000104436,-0.194272102,0.905956147,0.443799058,0.505294488,0.773932585
ENSMUSG00000003184,0.08960337,4.103358907,0.443653236,0.505364444,0.773976766
ENSMUSG00000036667,-0.13201504,0.908937904,0.443419448,0.505476634,0.774084353
ENSMUSG00000089365,0.465787881,-2.175730558,0.443267644,0.505549505,0.774084353
ENSMUSG00000047246,-0.105736749,4.085217195,0.443249867,0.505558039,0.774084353
ENSMUSG00000036646,-0.090898936,3.836332,0.442986348,0.505684583,0.774108505
ENSMUSG00000094076,0.127860238,1.682853083,0.442913081,0.505719776,0.774108505
ENSMUSG00000023277,-0.227105316,-0.193432436,0.442860674,0.505744952,0.774108505
ENSMUSG00000097467,0.114812073,2.098768734,0.442837407,0.505756129,0.774108505
ENSMUSG00000027107,0.146227413,0.900809652,0.442788976,0.505779398,0.774108505
ENSMUSG00000042210,-0.155477628,1.5248083,0.442494732,0.505920806,0.774248723
ENSMUSG00000036555,-0.165569717,0.80579977,0.442427219,0.505953261,0.774248723
ENSMUSG00000035201,-0.329114694,-1.531471398,0.442322377,0.506003668,0.774262927
ENSMUSG00000018209,-0.07884367,3.773223993,0.442141732,0.50609054,0.774332921
ENSMUSG00000031595,-0.219935798,-0.583427419,0.441837935,0.506236694,0.7744936
ENSMUSG00000034652,0.154033996,1.443755659,0.441701204,0.506302497,0.774531333
ENSMUSG00000066554,0.390231101,-1.780667411,0.440962005,0.506658502,0.775012968
ENSMUSG00000026313,0.107557766,2.702601137,0.440845303,0.506714746,0.775036032
ENSMUSG00000027006,0.099934398,3.656430013,0.44024321,0.507005092,0.775390954
ENSMUSG00000053580,0.104169089,2.527919724,0.440193321,0.507029162,0.775390954
ENSMUSG00000037563,0.086436613,5.546418583,0.439885521,0.507177715,0.775555136
ENSMUSG00000112833,0.208994854,-1.004214881,0.439741811,0.507247098,0.77559824
ENSMUSG00000085791,-0.11029771,4.534219325,0.439567545,0.507331257,0.775663925
ENSMUSG00000042043,-0.093710736,3.204249022,0.439187213,0.507515014,0.775847299
ENSMUSG00000103641,-0.222633178,-0.477052534,0.439135417,0.507540048,0.775847299
ENSMUSG00000021124,0.083551921,3.492178325,0.43901746,0.507597067,0.775847299
ENSMUSG00000085866,-0.346504485,-1.873351144,0.438906604,0.507650664,0.775847299
ENSMUSG00000081093,-0.137538091,1.410568455,0.438893001,0.507657241,0.775847299
ENSMUSG00000024780,0.080463587,3.932319553,0.438193811,0.507995517,0.776301266
ENSMUSG00000040139,-0.144908287,0.528624895,0.438083502,0.508048921,0.776318654
ENSMUSG00000065738,-0.193404528,0.10702624,0.437999978,0.508089364,0.776318654
ENSMUSG00000107212,0.089604958,3.460078318,0.437621977,0.508272465,0.776535397
ENSMUSG00000094359,-0.179123166,-0.081010117,0.43744494,0.508358259,0.776603452
ENSMUSG00000107005,-0.230454791,-0.442988509,0.437228189,0.508463334,0.776655901
ENSMUSG00000040479,-0.09094332,2.976165138,0.437203929,0.508475096,0.776655901
ENSMUSG00000096358,-0.572174368,-0.553832123,0.43693118,0.508607375,0.776785742
ENSMUSG00000032297,-0.369928068,-1.860657733,0.436858527,0.508642621,0.776785742
