"","C1","C2","C3","C4","C5","R2","R3","R4","R5"
"ENSMUSG00000093901",0.3878279,0.5146601,0.6176779,0.4375322,0.4501554,0.4923968,0.5538948,0.3478475,0.3725026
"ENSMUSG00000093902",0.4282865,0.6313176,0.4968829,0.4363468,0.4746427,0.66517,0.3370257,0.7816719,0.2331717
"ENSMUSG00000093904",25.72753,33.26847,31.47593,26.6175,26.09107,33.37017,33.65015,31.27702,26.35864
"ENSMUSG00000093909",1.170771,1.767389,1.296312,1.132145,1.198107,1.79987,1.613374,1.857145,1.772023
"ENSMUSG00000093919",0.5986852,0.3674757,0.4970693,0.4748955,0.4498015,0.6007051,0.3939927,0.6181189,0.4727336
"ENSMUSG00000093924",1.054941,1.081938,1.211534,1.04596,1.21879,1.44453,1.54725,1.123843,1.121595
"ENSMUSG00000093930",171.9774,57.08506,54.06229,161.3517,276.1217,51.99427,40.14922,54.13029,106.6072
"ENSMUSG00000093931",9.484809,2.914292,3.416871,2.564914,2.473953,6.610709,2.849977,4.324771,2.278558
"ENSMUSG00000093942",26.62772,24.56784,28.59202,31.90571,30.13571,24.71998,26.45974,31.39019,30.43465
"ENSMUSG00000093954",2.314849,1.879842,1.724511,2.344154,2.955974,1.922104,1.752827,2.14004,2.256509
"ENSMUSG00000093956",129.356,204.3033,134.0135,87.52142,119.6397,189.9734,104.8819,218.9751,88.3403
"ENSMUSG00000093965",0.8827276,1.014826,0.7362506,0.8778431,0.8645868,1.012651,0.9211537,0.7142701,1.043731
"ENSMUSG00000093978",1.101447,1.121059,1.258452,1.093349,1.237408,1.417405,1.548435,1.091383,1.077131
"ENSMUSG00000093988",0.2084547,0.6017724,0.2972822,0.1878049,0.2393694,0.3661236,0.2381498,0.478941,0.1339832
"ENSMUSG00000093990",15.11284,11.33768,11.39426,12.58471,13.20134,11.48973,10.61578,12.19773,12.92291
"ENSMUSG00000093992",0.8821138,1.236219,0.7893853,0.4833069,0.6761292,0.8633017,0.5469002,1.236069,0.435467
"ENSMUSG00000094003",0.8385613,0.9654159,2.10371,1.182978,0.7220525,1.4574,1.822175,0.9203003,0.8453704
"ENSMUSG00000094013",0.9540575,1.251338,0.6845727,0.5858,0.7887459,0.9245037,0.5102068,1.195119,0.5000956
"ENSMUSG00000094015",6.425673,4.882838,4.723339,5.225062,5.362165,5.166509,4.843029,5.091305,5.55728
"ENSMUSG00000094017",0.3432272,0.3480886,0.4348051,0.3108834,0.3656287,0.2689608,0.4210232,0.5832021,0.6243752
"ENSMUSG00000094030",13.47566,13.54689,15.49769,17.66714,16.24433,14.48684,14.60029,18.32495,16.51075
"ENSMUSG00000094041",0.9781673,0.7704915,0.9462885,0.734154,0.8372398,0.8680949,0.8200263,0.7825266,1.083755
"ENSMUSG00000094050",130.0535,205.7379,134.4705,88.08035,120.6939,191.2244,105.3458,220.928,88.93849
"ENSMUSG00000094065",0.3871637,0.3407813,0.431651,0.4033511,0.294829,0.4212704,0.3171981,0.1385053,0.2356436
"ENSMUSG00000094076",2.915836,3.287233,3.493534,3.207323,3.234031,2.678191,2.923716,3.287179,3.271313
"ENSMUSG00000094081",35.54567,34.13903,33.74377,37.14878,36.37846,36.19122,32.3907,33.62955,36.48577
"ENSMUSG00000094082",0.2840415,0.227625,0.2335614,0.1297653,0.1896941,0.1866363,0.1367845,0.1319483,0.3069488
"ENSMUSG00000094090",5.174335,4.959432,5.220208,4.772485,4.867547,4.603518,5.498381,4.895957,4.921744
"ENSMUSG00000094092",3.220965,1.375393,1.26646,1.383869,1.366729,1.21454,1.253586,1.301182,1.449699
"ENSMUSG00000094097",0.8603563,1.080919,2.116238,1.043394,0.7190209,1.481552,1.771254,0.8448396,0.8652481
"ENSMUSG00000094103",2.54574,3.813653,4.160422,2.953096,2.78272,3.369522,3.782599,3.204945,2.71678
"ENSMUSG00000094111",1.426393,0.9248365,0.9963807,1.014336,0.8495483,0.7116664,0.9855289,0.7862366,0.7401618
"ENSMUSG00000094114",4.150557,3.387444,2.867957,4.602744,2.934271,3.420264,4.839117,3.334059,5.074966
"ENSMUSG00000094122",20.70159,18.46964,20.27446,19.00571,20.18245,19.12323,20.72443,18.45607,18.78673
